S,Year Makes: 134 Models: 902,Nickname,Ordinal,Year,Makes: 134,Models: 902,Special Access,DLC Pack,Special Reward/Gift,Direct Access,Car Value,Rarity,FE Boost,Car Type,Spec,Class,PI,S,H,A,L,B,O,HP,T,Wt,Wt / HP,%,Displ cc,Aspiration,Engine,Cylinders,Eng,Drive,F Tire,R Tire,Track Width,Aero or kit Options,Engine Conversions (hp),Aspiration Options,Naturally Aspirated,Region,Country,Model Family,Open Top,Doors,Steering,Wheels,No lights,Car Themes,0-60 Sec,0-100 Sec,1/4 Mile,Top Speed,60-0 Feet,100-0 Ft,60 mph g's,100mph g's,60-100 sec,MM VIN,FH5 Debut,Forza Debut,Latest game,New to Forza,FH5,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,FM3,FM2,FM1,# Titles,Xbox gen,
FALSE,2010 Audi R8 5.2 FSI Quattro,,,2010,Audi,R8 5.2 FSI Quattro,,,,,,,,Modern GT,Factory,A,656,7.3,4.9,8.7,9.7,5.2,,525,417,3571,6.80,44,5200,NA,V,10,M,AWD,,,,,,,stock,Europe,Germany,,,2,L,4,,,3.700,8.220,,189.2,107.7,270.3,1.16,1.18,4.520,11471,,27-Oct-09,FM5,FM3,,,,,,,FM5,,FM4,FM3,,,3,XBO,0
FALSE,2010 Audi R8 5.2 FSI Quattro (painted/tuned),,,2010,Audi,R8 5.2 FSI Quattro (painted/tuned),DLC promo,,,,,,,Modern GT,Upgraded,,,,,,,,,525,417,3571,6.80,,,,,10,M,AWD,,,,,,,,Europe,Germany,,,2,L,4,,,3.700,,,187.9,,,,,,12055,,22-Nov-13,FM5,FM5,,,,,,,DLC,,,,,,1,XBO,0
FALSE,2010 Audi S4,,,2010,Audi,S4,,,,,,,,Sedan,Factory,A,509,,,,,,,333,324,3638,10.92,,,,,6,F,AWD,,,,,,,,Europe,Germany,,,4,L,4,,,5.100,,,179.8,,,,,,11591,,08-Dec-09,FM4,FM3,,,,,,,,,FM4,DLC,,,2,360,0
FALSE,2010 Audi TT RS Coupe,Audi TT RS,1220,2010,Audi,TT RS Coupe,"Autoshow, WS",,,,"66,000",Rare,,Modern Sports Cars,Factory,A,707,6.6,6.0,5.8,7.0,4.4,5.4,335,332,3294,9.83,60,2480,T,Inline,5,F,AWD,,255,no,Aftermarket,"300, 805",none,eng,Europe,Germany,TT,,2,L,4,,DD,4.400,11.100,12.983,181.1,125.7,316.4,0.96,0.99,6.700,11611,05-Nov-21,08-Mar-10,FH5,FM3,FH5,HTF,FM7,,FM6,FH2,FM5,FH1,FM4,DLC,,,9,XBO,1
FALSE,2010 Audi TT RS Coupe (Day One),,,2010,Audi,TT RS Coupe (Day One),DLC promo,,,,,,,Coupster,Upgraded,,,,,,,,,335,332,3042,9.08,,,,,5,F,AWD,,,,,,,,Europe,Germany,,,2,L,4,,,4.420,,,167.3,,,,,,12060,,22-Nov-13,FM5,FM5,,,,,,,DLC,,,,,,1,XBO,0
FALSE,2009 Audi #2 Audi Sport Team Joest R15 TDI,,,2009,Audi,#2 Audi Sport Team Joest R15 TDI,,,,,,,,P1 Racing,Race,R1,995,,,,,,,629,820,2050,3.26,,,,,10,M,RWD,,,,,,,,Europe,Germany,,Yes,2,L,4,,,3.000,,,211.2,,,,,,11590,,08-Dec-09,FM4,FM3,,,,,,,,,FM4,DLC,,,2,360,0
FALSE,2009 Audi Forza Ultimate R15 TDI,,,2009,Audi,Forza Ultimate R15 TDI,,,,,,,,,Livery,R1,983,8.2,8.9,9.1,7.9,8.8,,,,,#DIV/0!,,,,,,M,RWD,,,,,,,,Europe,Germany,,Yes,2,L,4,,,,,,,,,,,,11660,,29-Oct-10,FM3,FM3,,,,,,,,,,DLC,,,1,360,0
FALSE,2009 Audi Q7 V12 TDI,Audi Q7,,2009,Audi,Q7 V12 TDI,,,,,,,,Modern SUV,Factory,C,425,6.6,3.8,7.1,,3.9,,494,737,5743,11.63,54,,TT,V,12,F,AWD,,,,,,,eng,Europe,Germany,,,5,L,4,,,5.400,12.900,13.600,176.3,143.1,365.5,0.96,0.92,7.500,11469,,27-Oct-09,FM7,FM3,,,FM7,,,,,,FM4,FM3,,,3,XBO,0
FALSE,2009 Audi R8 LMS,,,2009,Audi,R8 LMS,,,,,,,,GT3,Race,R3,744,,,,,,,521,391,3064,5.88,,,,,10,M,RWD,,,,,,,,Europe,Germany,,,2,L,4,,,3.600,,,191.8,,,,,,11600,,12-Jan-10,FM4,FM3,,,,,,,,,FM4,DLC,,,2,360,0
FALSE,2009 Audi RS 6,Audi RS 6 '09,1184,2009,Audi,RS 6,"Autoshow, WS",,,,"155,000",Epic,,Super Saloons,Factory,A,722,7.5,6.0,6.1,6.7,5.8,5.5,570,478,4376,7.68,59,5000,TT,V,10,F,AWD,,275,Both,Forza,805,none,no,Europe,Germany,,,4,L,4,,,4.400,9.900,12.700,198.4,104.3,260.1,0.93,0.96,5.500,11601,05-Nov-21,12-Jan-10,FH5,FM3,FH5,FH4,FM7,,FM6,,,,FM4,DLC,,,6,XBO,1
FALSE,2008 Audi #2 Audi Sport North America R10 TDI,,,2008,Audi,#2 Audi Sport North America R10 TDI,,,,,,,,P1 Racing,Race,R1,991,,,,,,,650,810,2039,3.14,,,,,12,M,RWD,,,,,,,,Europe,Germany,,Yes,2,L,4,,,2.800,,,210.0,,,,,,11467,,27-Oct-09,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2008 Audi A4 Touring Car,,,2008,Audi,A4 Touring Car,,,,,,,,GT,Race,R2,814,5.9,8.0,8.2,7.0,8.1,,476,391,2161,4.54,,,,,8,F,RWD,,,,,,,,Europe,Germany,,,4,L,4,,,,,,,,,,,,11468,,27-Oct-09,FM3,FM3,,,,,,,,,,FM3,,,1,360,0
FALSE,2008 Audi R8 4.2,,,2008,Audi,R8 4.2,,,,,,,,Sports,Factory,A,590,,,,,,,420,317,3439,8.19,,,,,8,M,AWD,,,,,,,,Europe,Germany,,,2,L,4,,,4.300,,,199.7,,,,,,11392,,07-Dec-07,FM4,FM2,,,,,,,,,FM4,FM3,DLC,,3,360,0
FALSE,2007 Audi S5,,,2007,Audi,S5,,,,,,,,Sports,Factory,A,502,,,,,,,349,324,3795,10.87,,,,,8,F,AWD,,,,,,,,Europe,Germany,,,4,L,4,,,4.800,,,184.3,,,,,,11403,,18-Mar-08,FM4,FM2,,,,,,,,,FM4,FM3,DLC,,3,360,0
FALSE,2007 Audi TT Coupe S-Line,,,2007,Audi,TT Coupe S-Line,,,,,,,,Sports,Factory,B,467,,,,,,,247,236,3109,12.59,,,,,6,F,AWD,,,,,,,,Europe,Germany,,,2,L,4,,,5.116,,,162.8,,,,,,11404,,18-Mar-08,FM4,FM2,,,,,,,,,FM4,FM3,DLC,,3,360,0
FALSE,2006 Audi #2 Audi Sport North America R8,#2 Audi R8,,2006,Audi,#2 Audi Sport North America R8,,,,,,,,Endurance Prototypes,Race,,,7.7,8.8,9.6,,8.7,,625,553,1984,3.17,45,,TT,V,8,M,RWD,,,,,,,no,Europe,Germany,,Yes,2,L,4,,,2.800,5.500,,208.6,79.9,185.8,1.71,2.38,2.700,11252,,29-May-07,FM6,FM2,,,,,FM6,,DLC,,FM4,FM3,FM2,,5,XBO,0
FALSE,2006 Audi #8 Audi Sport Team Joest Audi R10 TDI,,,2006,Audi,#8 Audi Sport Team Joest Audi R10 TDI,,,,,,,,P1 Racing,Livery,R1,978,7.9,8.9,9.2,8.2,8.9,,650,810,2039,3.14,,,,,12,M,RWD,,,,,,,,Europe,Germany,,Yes,2,L,4,,,2.800,5.719,,,,,,,,11382,,22-Sep-07,FM3,FM2,,,,,,,,,,FM3,DLC,,2,360,0
FALSE,2006 Audi RS 4,Audi RS 4 '06,419,2006,Audi,RS 4,"Autoshow, WS",,,,"53,000",Rare,,Super Saloons,Factory,A,710,6.9,6.1,6.0,5.5,4.4,5.3,420,317,3638,8.66,58,4163,NA,V,8,F,AWD,,255,Both,Forza,"510, 602, 805","T, TT, PDS, CS",stock,Europe,Germany,S4,,4,L,4,,,4.700,11.200,13.000,190.6,126.2,319.0,0.93,0.96,6.500,11256,05-Nov-21,29-May-07,FH5,FM2,FH5,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,FM3,FM2,,11,XBO,1
FALSE,2004 Audi #5 Audi Sport Japan Team Goh R8,#5 Audi R8,,2004,Audi,#5 Audi Sport Japan Team Goh R8,,,,,,,,Endurance Prototypes,Race,,,7.7,8.8,9.6,,8.7,,625,553,1984,3.17,45,,TT,V,8,M,RWD,,,,,,,no,Europe,Germany,,Yes,2,L,4,,,2.800,5.500,,208.6,79.6,185.4,1.70,2.37,2.700,11253,,29-May-07,FM6,FM2,,,,,FM6,,,,,FM3,FM2,,3,XBO,0
FALSE,2004 Audi #8 Audi ABT TT-R,,,2004,Audi,#8 Audi ABT TT-R,,,,,,,,GTC,Race,R2,827,,,,,,,455,376,2293,5.04,,,,,8,F,RWD,,,,,,,,Europe,Germany,,,2,L,4,,,3.800,,,180.2,,,,,,11015,,03-May-05,FM4,FM1,,,,,,,,,FM4,FM3,FM2,FM1,4,360,0
FALSE,2004 Audi #88 Audi Sport UK Team Veloqx R8,,,2004,Audi,#88 Audi Sport UK Team Veloqx R8,,,,,,,,,Livery,R1,,,,,,,,,,,#DIV/0!,,,,,,M,RWD,,,,,,,,Europe,Germany,,Yes,2,L,4,,,,,,,,,,,,11254,,29-May-07,FM2,FM2,,,,,,,,,,,FM2,,1,360,0
FALSE,2004 Audi S4,Audi S4,,2004,Audi,S4,,,,,,,,Sport Touring Icons,Factory,C,460,6.7,4.3,7.1,,4.2,,340,302,3825,11.25,62,,NA,V,8,F,AWD,,,,,,,stock,Europe,Germany,S4,,4,L,4,,,5.100,13.180,13.700,180.1,150.9,358.0,1.04,1.01,8.080,11017,,03-May-05,FM7,FM1,,,FM7,HP,FM6,,,,FM4,FM3,FM2,FM1,7,XBO,0
FALSE,2004 Audi TT Coupe 3.2 quattro,,,2004,Audi,TT Coupe 3.2 quattro,,,,,,,,Sports,Factory,C,421,,,,,,,249,236,3505,14.08,,,,,6,F,AWD,,,,,,,,Europe,Germany,,,2,L,4,,,6.518,,,157.4,,,,,,11019,,03-May-05,FM4,FM1,,,,,,,,,FM4,FM3,FM2,FM1,4,360,0
FALSE,2003 Audi #1 Champion RS6,,,2003,Audi,#1 Champion RS6,,,,,,,,GT3,Race,S,655,6.6,6.6,7.2,8.7,6.5,,496,409,3148,6.35,,,,,8,F,AWD,,,,,,,,Europe,Germany,,,4,L,4,,,,,,,,,,,,11010,,03-May-05,FM3,FM1,,,,,,,,,,FM3,FM2,FM1,3,360,0
FALSE,2003 Audi RS 6,Audi RS 6 '03,420,2003,Audi,RS 6,"Autoshow, WS",,,,"105,000",Rare,,Retro Saloons,Factory,B,677,6.8,5.7,5.1,5.0,4.1,5.4,450,415,4024,8.94,59,4172,TT,V,8,F,AWD,,255,Both,Forza,"510, 602, 805",none,eng,Europe,Germany,,,4,L,4,,,4.400,10.700,12.800,187.6,123.1,318.0,0.90,0.92,6.300,11016,05-Nov-21,03-May-05,FH5,FM1,FH5,FH4,FM7,,FM6,,,,FM4,FM3,FM2,FM1,8,XBO,1
FALSE,2002 Audi #1 Champion S4 Competition,,,2002,Audi,#1 Champion S4 Competition,,,,,,,,GT3,Race,S,644,6.4,6.5,7.0,8.9,6.5,,420,345,3053,7.27,,,,,6,F,AWD,,,,,,,,Europe,Germany,,,4,L,4,,,,,,,,,,,,11011,,03-May-05,FM3,FM1,,,,,,,,,,FM3,FM2,FM1,3,360,0
FALSE,2002 Audi #1 Infineon Audi R8,,,2002,Audi,#1 Infineon Audi R8,,,,,,,,,Race,R1,,,,,,,,,,,#DIV/0!,,,,,,M,RWD,,,,,,,,Europe,Germany,,Yes,2,L,4,,,,,,,,,,,,11012,,03-May-05,FM2,FM1,,,,,,,,,,,FM2,FM1,2,360,0
FALSE,2001 Audi #38 Champion R8,,,2001,Audi,#38 Champion R8,,,,,,,,,Livery,P1,,,,,,,,,,,#DIV/0!,,,,,,M,RWD,,,,,,,,Europe,Germany,,Yes,2,L,4,,,,,,,,,,,,11013,,03-May-05,FM1,FM1,,,,,,,,,,,,FM1,1,360,0
FALSE,2001 Audi #4 Johansson Motorsport R8,,,2001,Audi,#4 Johansson Motorsport R8,,,,,,,,P1 Racing,Livery,R1,937,7.3,8.8,9.0,8.0,8.8,,625,,1984,3.17,,,,,,M,RWD,,,,,,,,Europe,Germany,,Yes,2,L,4,,,,,,,,,,,,11014,,03-May-05,FM3,FM1,,,,,,,,,,FM3,FM2,FM1,3,360,0
FALSE,2001 Audi RS 4 Avant,Audi RS 4 '01,2178,2001,Audi,RS 4 Avant,"Autoshow, WS",,,,"50,000",Common,,Retro Saloons,Factory,B,663,6.4,5.8,5.5,4.7,3.6,5.2,375,324,3571,9.52,58,2671,TT,V,6,F,AWD,,255,Both,Forza,"510, 805",none,eng,Europe,Germany,S4,,5,L,4,,,4.548,11.600,12.733,175.5,136.7,351.2,0.92,0.93,7.052,12228,05-Nov-21,02-Jun-15,FH5,FH2,FH5,FH4,FM7,,FM6,DLC,,,,,,,5,XBO,1
FALSE,2000 Audi AWE Tuning SilverBullet S4,,,2000,Audi,AWE Tuning SilverBullet S4,,,,,,,,,Tuner,A,832,,,,,,,,,,#DIV/0!,,,,,,F,AWD,,,,,,,,Europe,Germany,,,4,L,4,,,,,,,,,,,,11255,,29-May-07,FM2,FM2,,,,,,,,,,,FM2,,1,360,0
FALSE,2000 Audi S4,,,2000,Audi,S4,,,,,,,,Sedan,Factory,C,415,,,,,,,250,258,3384,13.54,,,,,6,F,AWD,,,,,,,,Europe,Germany,,,4,L,4,,,5.617,,,159.4,,,,,,11018,,03-May-05,FM4,FM1,,,,,,,,,FM4,FM3,FM2,FM1,4,360,0
FALSE,1995 Audi Avant RS 2,Audi RS 2,1370,1995,Audi,Avant RS 2,"Autoshow, WS",,,,"94,000",Common,,Retro Saloons,Factory,B,601,6.0,5.1,5.0,5.3,3.2,5.2,311,302,3517,11.31,58,2226,T,Inline,5,F,AWD,,245,Both,Forza,"300, 805",none,eng,Europe,Germany,,,5,L,4,,,4.800,13.100,13.217,165.2,136.0,353.9,0.87,0.88,8.300,11740,05-Nov-21,14-Oct-11,FH5,FM4,FH5,FH4,FM7,FH3,FM6,FH2,DLC,,FM4,,,,8,XBO,1
FALSE,1989 Audi #4 Audi 90 quattro IMSA GTO,#4 Audi 90,,1989,Audi,#4 Audi 90 quattro IMSA GTO,,,,,,,,GT Racing Reborn,Race,R,859,7.0,6.8,9.5,,6.7,,711,531,2659,3.74,52,,T,Inline,5,F,AWD,,,,,,,no,Europe,Germany,,,4,L,4,,,2.518,5.920,9.983,191.3,91.8,225.0,1.42,1.55,3.402,12104,,09-Jun-14,FM7,FM5,,,FM7,,FM6,,DLC,,,,,,3,XBO,0
FALSE,1986 Audi #2 Audi Sport quattro S1,#2 Audi S1,1478,1986,Audi,#2 Audi Sport quattro S1,Seasonal,Series 18 cu,,,"375,000",Epic,,Rally Monsters,Race,S1,827,6.3,6.4,8.9,2.4,5.5,7.8,469,354,2403,5.12,52,2110,T,Inline,5,F,AWD,,275,Rear,Preset / rally,"415, 300, 602, 805",none,no,Europe,Germany,,,2,L,4,,WW,3.100,7.218,10.850,175.4,105.4,256.9,1.12,1.26,4.118,11858,02-Mar-23,07-Feb-12,FH5,FM4,cu,FH4,FM7,FH3,,,,,DLC,,,,5,XBO,1
FALSE,1983 Audi Sport quattro,Audi quattro,633,1983,Audi,Sport quattro,"Autoshow, WS",,Accolade,,"175,000",Epic,,Retro Rally,Factory,B,638,5.7,5.0,5.5,2.9,4.0,5.7,306,258,2807,9.17,55,2134,T,Inline,5,F,AWD,,235,Both,Preset / rally,805,none,eng,Europe,Germany,,,2,L,4,,,4.517,12.518,13.200,157.7,123.5,312.3,0.91,0.91,8.001,11393,05-Nov-21,07-Dec-07,FH5,FM2,FH5,Barn,FM7,FH3,FM6,FH2,FM5,FH1,FM4,FM3,DLC,,11,XBO,1
FALSE,1983 Audi Sport quattro LCE Livery,,,1983,Audi,Sport quattro LCE Livery,DLC promo,,,,,,,Sports,Livery,B,434,,,,,,,306,258,2807,9.17,,,,,5,F,AWD,,,,,,,,Europe,Germany,,,2,L,4,,,,,,,,,,,,11955,,23-Oct-12,FH1,FH1,,,,,,,,DLC,,,,,1,360,0
FALSE,1964 Austin FX4 Taxi,Austin Taxi,,1964,Austin,FX4 Taxi,Exclusive,,,,"20,000",Common,,Cult Cars,Factory,D,100,4.5,3.8,3.6,4.5,3.5,,68,116,3527,51.87,55,2199,NA,Inline,4,F,RWD,,165,no,Widebody,"321, 415, 300","T, CS",stock,Europe,U.K.,,,4,R,4,,"RPC, DD",32.000,na,,90.6,222.8,na,0.64,0.64,na,12956,,28-Sep-18,FH4,FH4,,HTF,,,,,,,,,,,1,XBO,0
FALSE,1924 Austin Seven,Austin Seven,,1924,Austin,Seven,Exclusive,,,,"250,000",Legendary,,Rare Classics,Factory,D,100,3.1,4.1,3.0,3.0,4.4,,10,28,772,77.20,52,748,NA,Inline,4,F,RWD,,115,no,none,196,none,stock,Europe,U.K.,,,2,R,4,,,999.999,999.999,,49.5,na,na,0.70,0.70,na,13160,,08-Dec-20,FH4,FH4,,cu,,,,,,,,,,,1,XBO,0
FALSE,1965 Austin-Healey 3000 MkIII,3000 MKIII,,1965,Austin-Healey,3000 MkIII,,,,,"50,000",Rare,,Classic Sports Cars,Factory,D,326,5.7,4.0,5.1,6.5,3.6,,147,165,2650,18.03,52,2912,NA,Inline,6,F,RWD,,185,Both,Street,"321, 510, 300","T, PDS",stock,Europe,U.K.,,Yes,2,L,4,,SS,9.800,25.000,,131.7,205.4,516.8,0.68,0.68,15.200,11887,,01-May-12,FH4,FM4,,FH4,,,,,,,DLC,,,,2,XBO,0
FALSE,1958 Austin-Healey Sprite MkI,Sprite MKI,1574,1958,Austin-Healey,Sprite MkI,"Autoshow, WS",,,,"20,000",Common,,Classic Sports Cars,Factory,D,131,3.1,3.7,1.9,2.5,1.8,4.9,45,52,1463,32.51,54,948,NA,Inline,4,F,RWD,,145,Both,Forza,"196, 300","T, CS",stock,Europe,U.K.,,Yes,2,L,4,,"DVG, MM, OR, OT, RPC, SS",20.900,999.999,,89.1,196.9,na,0.74,0.74,979.099,11937,05-Nov-21,04-Sep-12,FH5,FM4,FH5,FH4,,,,,,,DLC,,,,3,XBO,1
FALSE,1939 Auto Union Type D,AutoUnion Type D,2096,1939,Auto Union,Type D,Autoshow,,Accolade,,"15,000,000",Legendary,,Vintage Racers,Race,B,675,8.4,4.2,4.5,3.4,2.7,4.2,485,413,2823,5.82,42,2990,PDS,V,12,M,RWD,,200,no,none,none,none,no,Europe,Germany,,Yes,1,C,4,,HR,3.787,8.470,12.117,228.1,162.4,414.2,0.84,0.83,4.683,12109,05-Nov-21,01-Jul-14,FH5,FM5,FH5,FH4,FM7,,FM6,,DLC,,,,,,5,XBO,1
FALSE,2020 Automobili Pininfarina Battista,Battista '20,3360,2020,Automobili Pininfarina,Battista,DLC Autoshow,FH5 European Auto,Free w/DLC,,"2,500,000",Legendary,,Hypercars,Factory,S2,928,7.8,6.7,9.9,10.0,8.0,4.5,1845,1695,4409,2.39,48,0,E,E,E,M,AWD,265/35R21,305/30R21,Both,Forza,none,none,,Europe,Italy,,,2,L,4,,,2.000,3.400,,219.6,77.9,188.3,1.25,1.37,1.400,13396,27-Feb-24,05-Oct-23,FH5,FM,DLC,,,,,,,,,,,,1,XBO,1
FALSE,1993 Autozam AZ-1,Autozam AZ-1 '93,3854,1993,Autozam,AZ-1,DLC Autoshow,FH5 JDM Jewels,Free w/DLC,,"25,000",Rare,,Retro Hot Hatch,Factory,D,450,4.2,4.2,3.0,4.4,3.0,5.2,63,63,1587,25.19,44,660,T,Inline,3,M,RWD,155/65R13,155/65R13,Both,"WB, Street Lights","212, 300, 805, 360",none,eng,Asia,Japan,,,2,R,4,,,10.479,27.133,,117.3,154.7,386.1,0.87,0.92,16.654,,16-Jul-24,16-Jul-24,FH5,FH5,DLC,,,,,,,,,,,,1,XBO,1
FALSE,2014 BAC Mono,BAC Mono,2040,2014,BAC,Mono,"Accolade, WS",,Accolade,,"160,000",Epic,,Track Toys,Factory,S1,868,6.1,8.1,6.3,6.7,8.1,3.9,280,206,1354,4.84,48,2300,NA,Inline,4,M,RWD,,245,no,none,"300, 475(3L)",none,stock,Europe,U.K.,,Yes,1,C,4,,"OT, SS?",2.788,6.684,11.517,171.9,90.5,206.5,1.29,1.52,3.896,12312,05-Nov-21,15-Sep-15,FH5,FM6,FH5,FH4,FM7,FH3,FM6,,,,,,,,5,XBO,1
FALSE,2014 BAC Mono Horizon Edition,,,2014,BAC,Mono Horizon Edition,,,,,,,,Extreme Track Toys,Upgraded,S1,900,6.3,8.5,8.9,8.4,10.0,,280,206,1354,4.84,48,2300,NA,Inline,4,M,RWD,,S1,,,,,stock,Europe,U.K.,,Yes,1,C,4,,,,,,,,,,,.000,12556,,23-Sep-16,FH3,FH3,,,,HE,,,,,,,,,1,XBO,0
FALSE,2015 Baldwin #97 Monster Energy Trophy Truck,,,2015,Baldwin,#97 Monster Energy Trophy Truck,,,,,,,,Extreme Offroad,Race,A,796,5.4,7.5,8.0,8.2,7.3,,800,690,6390,7.99,60,7505,,,,F,RWD,,,,,,,no,N. America,U.S.,,,2,L,4,,Heavy,4.591,10.161,,138.8,171.2,450.2,0.83,0.83,5.570,12557,,23-Sep-16,FH3,FH3,,,,FH3,,,,,,,,,1,XBO,0
FALSE,2021 Bentley Continental GT Convertible,Bentley Cont GTC,3728,2021,Bentley,Continental GT Convertible,DLC Autoshow,FH5 European Auto,Free w/DLC,,"300,000",Rare,,GT Cars,Factory,A,759,7.7,5.3,6.2,9.6,4.3,5.5,626,663,5322,8.50,55,5950,TT,W,12,F,AWD,275/35R22,315/30R22,Both,Street,"602, 805, 800, 1750, 700W",none,,Europe,U.K.,,Yes,2,L,4,,,3.700,8.100,,210.5,125.5,322.3,0.93,0.95,4.400,13457,27-Feb-24,27-Feb-24,FH5,FH5,DLC,,,,,,,,,,,,1,XBO,1
FALSE,2021 Bentley Flying Spur,Flying Spur '21,3588,2021,Bentley,Flying Spur,Seasonal,Series 41 cu,,,"350,000",Epic,,Super Saloons,Factory,A,719,7.6,5.3,5.3,9.3,4.1,6.1,626,663,5373,8.58,54,5950,TT,W,12,F,AWD,275/35R22,315/30R22,Both,Forza,"475d, 510, 602, 805, 700V, 800, 1750, 700W",none,eng,Europe,U.K.,,,4,L,4,,,3.515,8.200,,207.0,126.8,327.6,0.91,0.91,4.685,,05-Dec-24,05-Dec-24,FH5,FH5,cu,,,,,,,,,,,,1,XBO,1
FALSE,2017 Bentley #17A LIQUI MOLY M-Sport Continental GT3,#17 Bentley GT3,,2017,Bentley,#17A LIQUI MOLY M-Sport Continental GT3,,,,,,,,Forza GT,Race,R,831,6.6,7.0,8.9,,7.0,,600,531,2871,4.79,52,,TT,V,8,F,RWD,,,,,,,no,Europe,U.K.,,,2,R,4,,,3.315,6.500,11.200,177.9,111.2,258.1,1.44,1.62,3.185,12753,,29-Sep-17,FM7,FM7,,,FM7,,,,,,,,,,1,XBO,0
FALSE,2017 Bentley Continental Supersports,Bentley Cont '17,2665,2017,Bentley,Continental Supersports,"Autoshow, WS",,,,"200,000",Epic,,GT Cars,Factory,A,769,7.6,6.1,8.0,9.1,5.8,4.9,700,749,5029,7.18,58,5998,TT,W,12,F,AWD,,275,Both,Forza,"800, 700W",none,no,Europe,U.K.,,,2,L,4,,"Heavy, BRG",3.548,7.890,11.133,210.2,105.6,261.1,0.92,0.94,4.342,12666,05-Nov-21,07-Mar-17,FH5,FH3,FH5,FH4,FM7,cu,,,,,,,,,4,XBO,1
FALSE,2016 Bentley Bentayga,Bentley Bentayga,2625,2016,Bentley,Bentayga,"Autoshow, WS",,,,"180,000",Epic,,Sports Utility Heroes,Factory,A,727,7.0,5.0,6.2,7.4,4.0,6.5,599,663,5340,8.91,57,5950,TT,W,12,F,AWD,,285,no,Preset / Offroad,800,none,no,Europe,U.K.,,,5,R,4,,Heavy,4.400,10.100,11.817,192.6,129.8,332.5,0.92,0.91,5.700,12649,05-Nov-21,03-Jan-17,FH5,FH3,FH5,FH4,FM7,DLC,,,,,,,,,4,XBO,1
FALSE,2015 Bentley EXP 10 Speed 6 Concept,Bentley Speed 6,,2015,Bentley,EXP 10 Speed 6 Concept,,,,,,,,Sport Luxury,Factory,A,670,8.2,4.8,8.3,9.8,4.7,,633,619,4497,7.10,58,5998,TT,W,12,F,AWD,,,,,,,no,Europe,U.K.,,,2,R,4,,Heavy,3.700,7.982,11.233,219.4,135.3,356.4,1.10,1.08,4.282,12636,,06-Dec-16,FM7,FH3,,,FM7,DLC,,,,,,,,,2,XBO,0
FALSE,2014 Bentley #7 M-Sport Bentley Continental GT3,#7 Bentley GT3,,2014,Bentley,#7 M-Sport Bentley Continental GT3,,,,,,,,[Racing GT],Race,S2,959,7.4,9.1,9.1,8.5,10.0,,600,531,2866,4.78,52,3993,TT,V,8,F,RWD,,S2,,,,,no,Europe,U.K.,,,2,R,4,,,3.300,6.500,,197.0,109.1,256.0,1.30,1.65,3.200,12313,,15-Sep-15,FH3,FM6,,,,cu,FM6,,,,,,,,2,XBO,0
FALSE,2013 Bentley Continental GT Speed,Bentley Cont '13,,2013,Bentley,Continental GT Speed,,,,,"242,000",Rare,,GT Cars,Factory,A,774,8.0,6.3,7.8,9.5,6.7,,617,590,5115,8.29,58,5998,TT,W,12,F,AWD,,275,Both,Preset / Adjustable,none,none,no,Europe,U.K.,,,2,L,4,,HH,4.000,9.000,11.633,206.7,180.0,388.8,0.91,0.92,5.000,12098,,30-May-14,FH4,FM5,,FH4,FM7,FH3,FM6,FH2,DLC,,,,,,6,XBO,0
FALSE,2013 Bentley Continental GT Speed Forza Edition,Bentley Cont FE,,2013,Bentley,Continental GT Speed Forza Edition,Exclusive,,,,"492,000",FE,Clean Skills,Track Toys,Upgraded,S1,835,8.0,7.9,7.9,9.5,8.1,,617,590,5115,8.29,58,5998,TT,W,12,F,AWD,,325,no,Preset / Adjustable,none,none,,Europe,U.K.,,,2,L,4,,HH,4.000,9.000,,206.1,180.0,390.0,1.33,1.38,5.000,12959,,28-Sep-18,FH4,FH4,,FE,,,,,,,,,,,1,XBO,0
FALSE,2012 Bentley Continental GT,,,2012,Bentley,Continental GT,,,,,,,,Sports,Factory,A,522,,,,,,,567,516,5115,9.02,,5998,TT,W,12,F,AWD,,,,,,,,Europe,U.K.,,,2,R,4,,,,,,,,,,,,11956,,23-Oct-12,FH1,FH1,,,,,,,,FH1,,,,,1,360,0
FALSE,2011 Bentley Platinum Motorsports Continental GT,,,2011,Bentley,Platinum Motorsports Continental GT,,,,,,,,Sports,Tuner,A,545,,,,,,,702,609,5470,7.79,,,,,12,F,AWD,,,,,,,,Europe,U.K.,,,2,L,4,,,3.629,,,209.9,,,,,,11860,,07-Feb-12,FM4,FM4,,,,,,,,,DLC,,,,1,360,0
FALSE,2010 Bentley Continental Supersports,,,2010,Bentley,Continental Supersports,,,,,,,,Sports,Factory,A,567,,,,,,,621,590,4940,7.95,,,,,12,F,AWD,,,,,,,,Europe,U.K.,,,2,L,4,,,3.700,,,219.4,,,,,,11619,,09-Apr-10,FM4,FM3,,,,,,,,,FM4,DLC,,,2,360,0
