"","Year Make Model","Nickname","Ordinal","Votes","Topic","Tags","Link","Year","Make","Model","Special Access","DLC Pack","Car Type","Spec","Class","PI","Aspiration","Engine","Cylinders","Eng","Drive","Region","Country","Model Family","Open Top","Doors","Steering","Wheels","FH5 Debut","Forza Debut","New to Forza","FH5","FH4","FM7","FH3","FM6","FH2","FM5","FH1","FM4","FM3","FM2","FM1","# Titles",""
"FALSE","2020 Lexus RC F Track Edition","Lexus RC F '20","3546","19","Lexus RC 2015-current","coupes, fh5-roster, grand-tourers, Lexus","https://forums.forza.net/t/-/704150","2020","Lexus","RC F Track Edition","DLC Autoshow","FH5 Car Pass","Track Toys","Factory","A","777","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","30-Jun-22","30-Jun-22","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2020 Lynk & Co #100 Cyan Racing 03","#100 Lynk&Co 03","3552","41","Lynk & Co 03 (touring car race spec)","fh5-roster, fm-roster, Lynk, racing-vehicles, TC-Racing","https://forums.forza.net/t/-/569285","2020","Lynk & Co","#100 Cyan Racing 03","Seasonal","Series 14 cu","Track Toys","Race","A","800","T","Inline","4","F","FWD","Asia","China","","","4","L","4","10-Nov-22","10-Nov-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2020 MG #20 MG6 XPower","#20 MG MG6","3537","18","MG MG6 Xpower 2020 race car","fm-roster, MG, racing-vehicles, TCR-racing","https://forums.forza.net/t/-/569287","2020","MG","#20 MG6 XPower","Backstage, Seasonal","Series 16 cu","Track Toys","Race","A","800","T","Inline","4","F","FWD","Europe","U.K.","","","4","L","4","12-Jan-23","12-Jan-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2020 Nissan GT-R NISMO (R35)","Nissan GTR '20","3622","135","Nissan GT-R 2007-current (R35)","coupes, fh5-roster, Nissan, sports-cars","https://forums.forza.net/t/-/560472","2020","Nissan","GT-R NISMO (R35)","Backstage, Seasonal","Series 5 cu","Track Toys","Factory","S1","846","TT","V","6","F","AWD","Asia","Japan","","","2","L","4","24-Mar-22","24-Mar-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2020 Porsche Taycan Turbo S 'Welcome Pack'","Taycan S WP","3685","","","","","2020","Porsche","Taycan Turbo S 'Welcome Pack'","DLC Autoshow","FH5 Welcome Pack","Super Saloons","Upgraded","S1","900","E","E","","R","AWD","Europe","Germany","","","4","L","4","05-Nov-21","05-Nov-21","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2020 Saleen Sportruck XR Black Label","Sportruck XR","3499","38","Saleen SporTruck 2018-2020","fh5-roster, pickup-trucks, Saleen","https://forums.forza.net/t/-/561104","2020","Saleen","Sportruck XR Black Label","DLC Autoshow","FH5 Horizon Racing","Pickups & 4x4s","Factory","B","666","PDS","V","8","F","AWD","N. America","U.S.","","","4","L","4","20-Jun-23","20-Jun-23","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2020 SIERRA Cars #23 Yokohama ALPHA","#23 SIERRA ALPHA","3539","","","","","2020","SIERRA Cars","#23 Yokohama ALPHA","DLC Autoshow","FH5 Hot Wheels","Extreme Track Toys","Race","S2","986","T","Inline","4","M","RWD","N. America","U.S.","","","1","C","4","19-Jul-22","19-Jul-22","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2020 Toyota Tundra TRD Pro","Toyota Tundra","3419","17","Toyota Tundra TRD Pro 2020","fh5-roster, pickup-trucks, Toyota","https://forums.forza.net/t/-/561518","2020","Toyota","Tundra TRD Pro","DLC Autoshow","FH5 Car Pass","Pickups & 4x4s","Factory","C","562","NA","V","8","F","AWD","Asia","Japan","","","4","L","4","10-Mar-22","10-Mar-22","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2020 Xpeng P7","Xpeng P7","3547","9","Xpeng P7 2020","electric-vehicles, fh5-roster, fm-roster, sedans, Xpeng","https://forums.forza.net/t/-/574346","2020","Xpeng","P7","Autoshow","Series 11 cu","Super Saloons","Factory","A","722","E","E","","R","AWD","Asia","China","","","4","L","4","08-Sep-22","08-Sep-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Alumicraft #122 Class 1 Buggy","#122 AC Class 1","3549","","","","","2021","Alumicraft","#122 Class 1 Buggy","DLC","FH5 Rally Adv","Unlimited Buggies","Race","B","689","NA","V","8","R","RWD","N. America","U.S.","","","2","L","4","29-Mar-23","29-Mar-23","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2021 Aston Martin DBX","AM DBX '21","3580","92","Aston Martin DBX 2021-current","Aston-Martin, crossovers-suvs, fh5-roster","https://forums.forza.net/t/-/557845","2021","Aston Martin","DBX","DLC Autoshow","FH5 Car Pass","Sports Utility Heroes","Factory","A","732","TT","V","8","F","AWD","Europe","U.K.","","","5","L","4","23-Jun-22","23-Jun-22","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2021 Audi RS 6 Avant","Audi RS 6 '21","3583","452","Audi RS6 2019-2021 (C8)","Audi, fh5-roster, fm-roster","https://forums.forza.net/t/-/557935","2021","Audi","RS 6 Avant","Backstage, Seasonal","Series 20 cu","Super Saloons","Factory","A","763","TT","V","8","F","AWD","Europe","Germany","","","5","L","4","11-May-23","11-May-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Audi RS 7 Sportback","Audi RS 7 '21","3584","29","Audi RS 7 Sportback 2021","Audi, fh5-roster, fm-roster","https://forums.forza.net/t/-/557937","2021","Audi","RS 7 Sportback","Backstage, Seasonal","Series 12 cu","Super Saloons","Factory","A","768","TT","V","8","F","AWD","Europe","Germany","","","4","L","4","22-Sep-22","22-Sep-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Audi RS e-tron GT","Audi RS e-tron","3359","24","Audi e-tron GT 2021","Audi, fh5-roster, fm-roster","https://forums.forza.net/t/-/557900","2021","Audi","RS e-tron GT","Seasonal","Series 12 cu","Super Saloons","Factory","A","770","E","E","","M","AWD","Europe","Germany","","","4","L","4","22-Sep-22","22-Sep-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Bentley Continental GT Convertible","Bentley Cont GTC","3728","366","Bentley Continental GT 2018-2024","Bentley, coupes, fh5-roster, grand-tourers, open-top-cars","https://forums.forza.net/t/-/558015","2021","Bentley","Continental GT Convertible","DLC Autoshow","FH5 European Auto","GT Cars","Factory","A","759","TT","W","12","F","AWD","Europe","U.K.","","Yes","2","L","4","27-Feb-24","27-Feb-24","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2021 Bentley Flying Spur","Flying Spur '21","3588","281","Bentley Flying Spur 2021","Bentley, fh5-roster, sedans","https://forums.forza.net/t/-/558028","2021","Bentley","Flying Spur","Seasonal","Series 41 cu","Super Saloons","Factory","A","719","TT","W","12","F","AWD","Europe","U.K.","","","4","L","4","05-Dec-24","05-Dec-24","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 BMW M3 Competition Sedan","BMW M3 '21","3644","611","BMW 3-Series 2019-current (G20, G21, G80, G81)","BMW, fh5-roster","https://forums.forza.net/t/-/558062","2021","BMW","M3 Competition Sedan","Backstage, Seasonal","Series 25 cu","Super Saloons","Factory","A","772","TT","Inline","6","F","RWD","Europe","Germany","","","4","L","4","14-Sep-23","14-Sep-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 BMW M4 Competition Coupé","BMW M4 '21","3645","59","BMW 4-Series 2020-current (G22/G23/G26) (incl. Alpina B4)","Alpina, BMW, coupes, fh5-roster, sedans","https://forums.forza.net/t/-/666135","2021","BMW","M4 Competition Coupé","Backstage, Seasonal","Series 11 cu","Super Saloons","Factory","A","778","TT","Inline","6","F","RWD","Europe","Germany","","","2","L","4","25-Aug-22","25-Aug-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Dodge Durango SRT Hellcat","SRT Durango '21","3850","86","Dodge Durango SRT Hellcat 2021","crossovers-suvs, Dodge, fh5-roster","https://forums.forza.net/t/-/558635","2021","Dodge","Durango SRT Hellcat","Backstage, Seasonal","Series 37 cu","Sports Utility Heroes","Factory","A","744","PDS","V","8","F","AWD","N. America","U.S.","","","5","L","4","05-Sep-24","05-Sep-24","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Ford Mustang Mach-E 1400","Ford Mach-E 1400","3598","24","Ford Mustang Mach-E 1400hp prototype 2021","concepts-prototypes, electric-vehicles, fh5-roster, Ford, racing-vehicles","https://forums.forza.net/t/-/637650","2021","Ford","Mustang Mach-E 1400","Accolade","Series 6 cu","Track Toys","Tuner","S1","900","E","E","","M","AWD","N. America","U.S.","","","4","L","4","30-Mar-22","30-Mar-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Forsberg Racing Nissan 'Altimaniac'","Altimaniac","3530","13","Forsberg Racing Nissan Altimaniac (Drift Spec) 2021","custom-builds, fh5-roster, Formula-Drift, Nissan, racing-vehicles","https://forums.forza.net/t/-/737387","2021","Forsberg Racing","Nissan 'Altimaniac'","DLC Autoshow","FH5 Horizon Racing","Drift Cars","Race","S1","881","TT","V","6","F","RWD","N. America","U.S.","","","4","L","4","20-Jun-23","20-Jun-23","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2021 Hennessey Venom F5","Venom F5","3600","48","Hennessey Venom F5 2021-current","fh5-roster, Hennessey","https://forums.forza.net/t/-/559304","2021","Hennessey","Venom F5","DLC Autoshow","FH5 Hot Wheels","Hypercars","Factory","S2","964","TT","V","8","M","RWD","N. America","U.S.","","","2","L","4","19-Jul-22","19-Jul-22","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2021 Hyundai #98 Bryan Herta Autosport Elantra N","#98 Elantra","3676","217","Hyundai Elantra N (#98 Bryan Herta TCR) 2021","fh5-roster, Hyundai, racing-vehicles, TC-Racing","https://forums.forza.net/t/-/569279","2021","Hyundai","#98 Bryan Herta Autosport Elantra N","Seasonal","Series 33 cu","Track Toys","Race","A","800","T","Inline","4","F","FWD","Asia","Korea","","","4","L","4","02-May-24","02-May-24","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Lamborghini Aventador LP 780-4 Ultimae","L. Aventador '21","3775","2662","Lamborghini Aventador LP 780-4 Ultimae 2021","coupes, fh5-roster, hypercars, Lamborghini","https://forums.forza.net/t/-/559716","2021","Lamborghini","Aventador LP 780-4 Ultimae","Backstage, Seasonal","Series 36 cu","Hypercars","Factory","S1","878","NA","V","12","M","AWD","Europe","Italy","","","2","L","4","18-Jul-24","16-Jul-24","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Lamborghini Countach LPI 800-4","L. Countach '21","3774","1011","Lamborghini Countach LPI 800-4 2021","coupes, fh5-roster, Lamborghini, supercars","https://forums.forza.net/t/-/572064","2021","Lamborghini","Countach LPI 800-4","Seasonal","Series 34 cu","Hypercars","Factory","S1","865","NA","V","12","M","AWD","Europe","Italy","","","2","L","4","23-May-24","23-May-24","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Lexus LC 500","Lexus LC 500 '21","3250","329","2021 Lexus LC 500","fh5-roster, Lexus","https://forums.forza.net/t/-/559843","2021","Lexus","LC 500","Seasonal","Series 19 cu","GT Cars","Factory","A","719","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","13-Apr-23","13-Apr-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Lynk & Co 03+","Lynk & Co 03+","3677","27","Lynk & Co 03 2021","fh5-roster, fm-roster, Lynk","https://forums.forza.net/t/-/559933","2021","Lynk & Co","03+","Autoshow","Series 12 cu","Super Saloons","Factory","B","679","T","Inline","4","F","AWD","Asia","China","","","4","L","4","29-Sep-22","29-Sep-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 McLaren 620R","McLaren 620R","3655","22","McLaren 570S (GT racing spec) 2016-2022","GT-racing, McLaren, racing-vehicles","https://forums.forza.net/t/-/668617","2021","McLaren","620R","DLC Autoshow","FH5 Car Pass","Track Toys","Factory","S1","864","TT","V","8","M","RWD","Europe","U.K.","","","2","L","4","07-Apr-22","07-Apr-22","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2021 McLaren 765LT","McLaren 765LT","3482","72","McLaren 720S / 750S / 765LT 2017-current","coupes, McLaren, open-top-cars, supercars","https://forums.forza.net/t/-/657522","2021","McLaren","765LT","Backstage, Seasonal","Series 6 cu","Track Toys","Factory","S2","913","TT","V","8","M","RWD","Europe","U.K.","","","2","L","4","07-Apr-22","07-Apr-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 McLaren Sabre","McL. Sabre '21","3700","418","McLaren Sabre 2021","fh5-roster, fm-roster, hypercars, McLaren","https://forums.forza.net/t/-/560098","2021","McLaren","Sabre","DLC Autoshow","FH5 Acceleration","Hypercars","Factory","S1","887","TT","V","8","M","RWD","Europe","U.K.","","","2","L","4","26-Mar-24","26-Mar-24","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2021 Mercedes-AMG GT Black Series","AMG GT Black","3616","1050","Mercedes-AMG GT Black Series 2021-current","fh5-roster, Mercedes","https://forums.forza.net/t/-/560130","2021","Mercedes-AMG","GT Black Series","Seasonal","Series 22 cu","Track Toys","Factory","S1","884","TT","V","8","F","RWD","Europe","Germany","","","2","L","4","22-Jun-23","22-Jun-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Mercedes-AMG SL 63","M-AMG SL 63 '21","3617","244","Mercedes-AMG SL 2021 (R232)","fh5-roster, grand-tourers, hybrid-vehicles, Mercedes, open-top-cars","https://forums.forza.net/t/-/567453","2021","Mercedes-AMG","SL 63","Backstage, Seasonal","Series 31 cu","Super Saloons","Factory","A","789","TT","V","8","F","AWD","Europe","Germany","","","2","L","4","14-Mar-24","14-Mar-24","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 MG MG6 XPower","MG6 XPower","3689","19","MG MG6 2016-current","MG, sedans","https://forums.forza.net/t/-/560281","2021","MG","MG6 XPower","Seasonal","Series 16 cu","Super Saloons","Factory","A","716","T","Inline","4","F","FWD","Europe","U.K.","","","4","L","4","12-Jan-23","12-Jan-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 MINI John Cooper Works GP","MINI JCW GP '21","3534","52","MINI Hatch 2014-2023 (F56/F55/F57)","electric-vehicles, fh5-roster, hatchbacks, MINI, open-top-cars","https://forums.forza.net/t/-/560319","2021","MINI","John Cooper Works GP","DLC Autoshow","FH5 Car Pass","Super Hot Hatch","Factory","A","719","T","Inline","4","F","FWD","Europe","U.K.","","","2","L","4","14-Apr-22","14-Apr-22","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2021 Polaris RZR Pro XP Factory Racing Limited Edition","RZR Racing","3686","7","Polaris RZR 2015-2021","fh5-roster, Offroad, Polaris, racing-vehicles","https://forums.forza.net/t/-/560778","2021","Polaris","RZR Pro XP Factory Racing Limited Edition","DLC","FH5 Rally Adv","UTV's","Race","C","516","T","Inline","2","M","AWD","N. America","U.S.","","","2","L","4","29-Mar-23","29-Mar-23","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2021 Polaris RZR Pro XP Ultimate","Polaris RZR Pro","3687","7","Polaris RZR 2015-2021","fh5-roster, Offroad, Polaris, racing-vehicles","https://forums.forza.net/t/-/560778","2021","Polaris","RZR Pro XP Ultimate","Seasonal","Series 18 cu","UTV's","Race","C","593","T","Inline","2","M","AWD","N. America","U.S.","","","2","L","4","16-Mar-23","16-Mar-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Porsche 911 GT3","911 GT3 '21","3667","42","Porsche 911 2019-current (992)","coupes, fh5-roster, open-top-cars, Porsche, sports-cars","https://forums.forza.net/t/-/744540","2021","Porsche","911 GT3","Backstage, Seasonal","Series 8 cu","Track Toys","Factory","S1","858","NA","Flat","6","R","RWD","Europe","Germany","","","2","L","4","02-Jun-22","06-Jun-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Rimac Nevera","Rimac Nevera","3625","71","Rimac Nevera 2021-current","fh5-roster, fm-roster, Rimac","https://forums.forza.net/t/-/572767","2021","Rimac","Nevera","Autoshow","Series 19 cu","Hypercars","Factory","S2","968","E","E","","M","AWD","Europe","Croatia","","","2","L","4","30-Mar-23","30-Mar-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 RJ Anderson #37 Polaris RZR Pro 4 Truck","#37 Pro 4 Truck","3662","46","Robby Gordon Stadium Stadium Truck 2013-","RobbyGordon","https://forums.forza.net/t/-/561002","2021","RJ Anderson","#37 Polaris RZR Pro 4 Truck","DLC","FH5 Rally Adv","Unlimited Offroad","Race","A","776","NA","V","8","M","AWD","N. America","U.S.","","","2","L","4","29-Mar-23","29-Mar-23","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2021 SIERRA Cars 700R","SIERRA 700R","3665","8","Sierra Cars 700R","buggies-atvs, fh5-roster, racing-vehicles, SierraCars","https://forums.forza.net/t/-/587681","2021","SIERRA Cars","700R","Backstage, Seasonal","Series 18 cu","UTV's","Race","A","737","NA","Inline","2","M","RWD","N. America","U.S.","","","2","C","4","16-Mar-23","16-Mar-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Toyota GR Yaris","Toyota GR Yaris","3629","2052","Toyota GR Yaris 2021","fh5-roster, hatchbacks, hybrid-vehicles, Toyota","https://forums.forza.net/t/-/561526","2021","Toyota","GR Yaris","Backstage, Seasonal","Series 35 cu","Modern Rally","Factory","B","672","T","Inline","3","F","AWD","Asia","Japan","","","3","R","4","04-Jul-24","04-Jul-24","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2021 Volkswagen Golf R","VW Golf R '21","3413","81","Volkswagen Golf 2013-2021","fh5-roster, fm-roster, Volkswagen","https://forums.forza.net/t/-/561686","2021","Volkswagen","Golf R","DLC Autoshow","FH5 Car Pass","Super Hot Hatch","Factory","B","668","T","Inline","4","F","AWD","Europe","Germany","","","5","L","4","17-Feb-22","17-Feb-22","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2021 Volkswagen ID.4","VW ID.4 '21","3732","60","Volkswagen ID.4 2021","crossovers-suvs, electric-vehicles, fh5-roster, Volkswagen","https://forums.forza.net/t/-/579461","2021","Volkswagen","ID.4","Seasonal","Series 31 cu","Hot Hatch","Factory","C","527","E","E","","R","RWD","Europe","Germany","","","5","L","4","07-Mar-24","07-Mar-24","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Alumicraft #6165 Trick Truck","#6165 Truck","3693","","","","","2022","Alumicraft","#6165 Trick Truck","DLC","FH5 Rally Adv","Unlimited Offroad","Race","C","596","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","29-Mar-23","29-Mar-23","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2022 Aston Martin Valkyrie AMR Pro","AM Valkyrie AMR","3631","826","Aston Martin Valkyrie","Aston-Martin, fh5-roster, fm-roster, hypercars","https://forums.forza.net/t/-/557860","2022","Aston Martin","Valkyrie AMR Pro","Backstage, Seasonal","Series 31 cu","Extreme Track Toys","Race","S2","998","NA","V","12","M","RWD","Europe","U.K.","","","2","L","4","29-Feb-24","31-Jan-24","FM","cu","","","","","","","","","","","","1",""
"FALSE","2022 BMW i4 eDrive40","BMW i4 '22","3737","120","BMW 4-Series / i4 2020-current (G22/G23/G26/G82/G83)","BMW, fh5-roster","https://forums.forza.net/t/-/558067","2022","BMW","i4 eDrive40","Backstage, Seasonal","Series 25 cu","Super Saloons","Factory","B","633","E","E","","R","RWD","Europe","Germany","","","4","L","4","05-Oct-23","05-Oct-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 BMW iX xDrive50","BMW iX '22","3734","31","BMW iX 2022-current","BMW, crossovers-suvs, electric-vehicles, fh5-roster","https://forums.forza.net/t/-/586863","2022","BMW","iX xDrive50","Backstage, Seasonal","Series 25 cu","Sports Utility Heroes","Factory","A","703","E","E","","M","AWD","Europe","Germany","","","5","L","4","21-Sep-23","21-Sep-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 BMW M5 CS","BMW M5 '22","3764","395","BMW M5 CS 2022","BMW, fh5-roster","https://forums.forza.net/t/-/558074","2022","BMW","M5 CS","Backstage, Seasonal","Series 41 cu","Super Saloons","Factory","S1","827","TT","V","8","F","AWD","Europe","Germany","","","4","L","4","19-Dec-24","19-Dec-24","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Cadillac CT4-V Blackwing","Cadillac CT4-V","3719","83","Cadillac CT4 2022","Cadillac, fh5-roster, fm-roster, sedans","https://forums.forza.net/t/-/558193","2022","Cadillac","CT4-V Blackwing","Seasonal","Series 19 cu","Modern Muscle","Factory","A","760","TT","V","8","F","RWD","N. America","U.S.","","","4","L","4","20-Apr-23","20-Apr-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Cadillac CT5-V Blackwing","Cadillac CT5-V","3720","140","Cadillac CT5 2022","Cadillac, fh5-roster, fm-roster, sedans","https://forums.forza.net/t/-/558194","2022","Cadillac","CT5-V Blackwing","Seasonal","Series 19 cu","Modern Muscle","Factory","A","799","PDS","V","8","F","RWD","N. America","U.S.","","","4","L","4","06-Apr-23","06-Apr-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 CUPRA Formentor VZ5","Formentor '22","3746","112","CUPRA Formentor 2021","crossovers-suvs, CUPRA-SEAT, fh5-roster","https://forums.forza.net/t/-/558508","2022","CUPRA","Formentor VZ5","Autoshow","Series 21 cu","Sports Utility Heroes","Factory","A","740","T","Inline","5","F","AWD","Europe","Spain","","","5","L","4","24-May-23","24-May-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 CUPRA Tavascan Concept","Tavascan '22","3747","25","CUPRA Tavascan 2022","crossovers-suvs, CUPRA-SEAT, electric-vehicles, fh5-roster","https://forums.forza.net/t/-/598615","2022","CUPRA","Tavascan Concept","Autoshow","Series 21 cu","Sports Utility Heroes","Factory","B","677","E","E","","F","AWD","Europe","Spain","","","5","L","4","24-May-23","24-May-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 CUPRA UrbanRebel Concept","UrbanRebel '22","3748","22","CUPRA UrbanRebel concept","concepts-prototypes, CUPRA-SEAT, racing-vehicles","https://forums.forza.net/t/-/578302","2022","CUPRA","UrbanRebel Concept","Autoshow","Series 15 cu","Track Toys","Race","S1","854","E","E","","F","AWD","Europe","Spain","","","2","L","4","06-Dec-22","06-Dec-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Dodge Challenger SRT Super Stock","Challenger '22","3959","391","Dodge Challenger SRT Super Stock 2022","coupes, Dodge, fh5-roster, muscle-cars","https://forums.forza.net/t/-/558585","2022","Dodge","Challenger SRT Super Stock","Seasonal","Series 43 cu","Modern Muscle","Factory","S1","802","PDS","V","8","F","RWD","N. America","U.S.","","","2","L","4","30-Jan-25","30-Jan-25","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Extreme E #125 ABT Cupra XE","#125 Extreme E","3708","","","","","2022","Extreme E","#125 ABT Cupra XE","Seasonal","Series 10 cu","Unlimited Offroad","Livery","A","748","E","E","","M","AWD","Europe","France","","","2","L","4","19-Jul-22","19-Jul-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Extreme E #22 JBXE","#22 Extreme E","3709","","","","","2022","Extreme E","#22 JBXE","Seasonal","Series 10 cu","Unlimited Offroad","Livery","A","748","E","E","","M","AWD","Europe","France","","","2","L","4","19-Jul-22","19-Jul-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Extreme E #23 Genesys Andretti United","#23 Extreme E","3710","","","","","2022","Extreme E","#23 Genesys Andretti United","Seasonal","Series 10 cu","Unlimited Offroad","Livery","A","748","E","E","","M","AWD","Europe","France","","","2","L","4","19-Jul-22","19-Jul-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Extreme E #42 XITE Racing Team","#42 Extreme E","3711","","","","","2022","Extreme E","#42 XITE Racing Team","Seasonal","Series 10 cu","Unlimited Offroad","Livery","A","748","E","E","","M","AWD","Europe","France","","","2","L","4","19-Jul-22","19-Jul-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Extreme E #44 X44","#44 Extreme E","3712","","","","","2022","Extreme E","#44 X44","Seasonal","Series 10 cu","Unlimited Offroad","Livery","A","748","E","E","","M","AWD","Europe","France","","","2","L","4","19-Jul-22","19-Jul-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Extreme E #5 Veloce Racing","#5 Extreme E","3713","","","","","2022","Extreme E","#5 Veloce Racing","Seasonal","Series 10 cu","Unlimited Offroad","Livery","A","748","E","E","","M","AWD","Europe","France","","","2","L","4","19-Jul-22","19-Jul-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Extreme E #55 ACCIONA / Sainz XE Team","# 55 Extreme E","3714","","","","","2022","Extreme E","#55 ACCIONA / Sainz XE Team","Seasonal","Series 10 cu","Unlimited Offroad","Livery","A","748","E","E","","M","AWD","Europe","France","","","2","L","4","19-Jul-22","19-Jul-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Extreme E #58 McLaren Racing","#58 Extreme E","3727","","","","","2022","Extreme E","#58 McLaren Racing","Seasonal","Series 10 cu","Unlimited Offroad","Livery","A","748","E","E","","M","AWD","Europe","France","","","2","L","4","19-Jul-22","19-Jul-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Extreme E #6 Rosberg X Racing","#6 Extreme E","3715","","","","","2022","Extreme E","#6 Rosberg X Racing","Seasonal","Series 10 cu","Unlimited Offroad","Livery","A","748","E","E","","M","AWD","Europe","France","","","2","L","4","19-Jul-22","19-Jul-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Extreme E #99 Chip Ganassi Racing GMC Hummer EV","#99 Extreme E","3733","","","","","2022","Extreme E","#99 Chip Ganassi Racing GMC Hummer EV","Autoshow","Series 10 cu","Unlimited Offroad","Race","A","748","E","E","","M","AWD","Europe","France","","","2","L","4","19-Jul-22","19-Jul-22","FH5","cu","","","","","","","","","","","","1",""
"FALSE","2022 Fast and Furious Dodge Charger SRT Hellcat Redeye Widebody 'Fast X'","FAF Hellcat","3836","","","","","2022","Fast and Furious","Dodge Charger SRT Hellcat Redeye Widebody 'Fast X'","DLC Autoshow","FH5 Fast X","Modern Muscle","Tuner","S1","831","PDS","V","8","F","RWD","N. America","U.S.","","","2","L","4","05-Dec-23","05-Dec-23","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2022 Fast and Furious Flip Car 2.0 'Fast X'","FAF Flip Car","3838","2","Fast & Furious 6 Flip Car 2013","custom-builds, Fast-Furious","https://forums.forza.net/t/-/740165","2022","Fast and Furious","Flip Car 2.0 'Fast X'","DLC Autoshow","FH5 Fast X","Track Toys","Tuner","S1","815","NA","V","8","M","RWD","N. America","U.S.","","","2","C","6","05-Dec-23","05-Dec-23","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2022 Ferrari 296 GTB","Ferrari 296 GTB","3724","620","Ferrari 296 2022-current","Ferrari, fh5-roster","https://forums.forza.net/t/-/567465","2022","Ferrari","296 GTB","DLC Autoshow","FH5 Italian Exotics","Modern Supercars","Factory","S1","892","TT","V","6","M","RWD","Europe","Italy","","","2","L","4","15-Aug-23","15-Aug-23","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","2022 Ford Bronco Raptor","Bronco Raptor","3736","41","Ford Bronco 2019-current","fh5-roster, Ford","https://forums.forza.net/t/-/558913","2022","Ford","Bronco Raptor","Seasonal","Series 26 cu","Pickups & 4x4s","Factory","C","588","TT","V","6","F","AWD","N. America","U.S.","","","5","L","4","26-Oct-23","26-Oct-23","FH5","cu","","","","","","","","","","","","1",""
